;9;10;11;12
BPI-092-CO;0.981493967;-0.403136522;2.366124457;-1.649303962
BPI-093-CO;-0.195441949;-0.145411328;-0.68006262;2.366124457
BPI-094-CO;-0.193445336;-0.193445336;-0.264673473;1.673809212
BPI-095-CO;0.981493967;-0.68006262;-0.749294144;1.673809212
BPI-096-CO;0.012252625;3.404597324;-0.818525669;3.404597324
BPI-097-CO;3.058439701;2.366124457;0.981493967;0.981493967
BPI-098-CO;0.289178723;0.150715674;-0.010315681;-0.0569789
BPI-099-CO;-0.333904997;-0.403136522;3.058439701;-0.472368046
BPI-100-CO;0.289178723;-0.716672922;-0.403136522;-0.610831095
BPI-101-CO;0.981493967;-0.403136522;0.981493967;-1.510840913
BPI-102-CO;0.289178723;-1.095451767;-0.887757193;-1.184146748
BPI-103-CO;-0.472368046;0.981493967;-0.073360317;-0.073360317
BPI-104-CO;0.981493967;0.012252625;3.058439701;2.712282079
BPI-105-CO;1.673809212;-0.195441949;2.712282079;3.058439701
BPI-106-CO;3.058439701;0.566104821;3.404597324;3.404597324
BPI-107-CO;2.366124457;0.566104821;3.404597324;0.981493967
BPI-108-CO;3.058439701;1.673809212;2.366124457;3.404597324
BPI-109-CO;-0.403136522;-0.264673473;3.058439701;1.673809212
BPI-110-CO;3.058439701;0.344792877;0.012252625;-0.403136522
BPI-111-CO;0.472651257;3.058439701;-2.480082256;2.366124457
BPI-112-CO;-0.219713934;0.081484149;-0.403136522;0.981493967
BPI-113-CO;-2.480082256;0.289178723;-2.480082256;0.70456787
BPI-114-CO;3.404597324;0.081484149;0.566104821;1.97559033
BPI-115-CO;0.219947198;0.584105166;0.150715674;-2.480082256
BPI-116-CO;-0.333904997;3.404597324;-0.403136522;-0.333904997
BPI-117-CO;-0.126210424;3.404597324;-0.0569789;-0.264673473
BPI-118-CO;0.150715674;3.404597324;0.012252625;-0.0569789
BPI-119-CO;3.058439701;0.472651257;0.472651257;-0.403136522
BPI-120-CO;3.404597324;-0.333904997;0.150715674;0.607746904
BPI-121-CO;-1.095451767;-0.610831095;-0.333904997;1.673809212
BPI-122-CO;-1.787767011;-0.472368046;-0.0569789;-0.538689768
BPI-123-CO;-0.403136522;-0.818525669;-0.195441949;0.981493967
BPI-124-CO;-0.0569789;-0.956988718;-2.480082256;-0.264673473
BPI-125-CO;0.9746544;0.358410247;3.058439701;-0.264673473
BPI-126-CO;-0.333904997;0.981493967;-1.787767011;-0.403136522
BPI-127-CO;1.673809212;-0.101505243;-0.403136522;-0.0569789
BPI-128-CO;1.673809212;-0.0569789;0.289178723;0.981493967
BPI-129-CO;0.081484149;-0.403136522;-0.0569789;-1.095451767
BPI-130-CO;1.673809212;0.981493967;-0.0569789;-1.095451767
BPI-131-CO;-0.264673473;3.404597324;1.673809212;0.081484149
BPI-132-CO;-0.472368046;3.404597324;1.673809212;-0.403136522
BPI-133-CO;3.404597324;1.671625125;1.671625125;1.671625125
BPI-134-CO;3.404597324;2.887485948;2.887485948;2.887485948
BPI-135-CO;-0.68006262;0.289178723;-0.541599571;0.981493967
BPI-136-CO;-0.818525669;3.058439701;-0.403136522;3.058439701
