;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
11;BPI-011-CO 2019-07-25 08:52 AM;BPI-011-CO 2019-07-25 09:04 AM;BPI-011-CO 2019-07-29 05:59 AM;BPI-011-CO 2019-07-29 06:12 AM;BPI-011-CO 2020-02-01 06:42 AM;BPI-011-CO 2020-02-01 09:38 AM;BPI-011-CO 2020-03-11 06:54 AM;BPI-011-CO 2020-03-11 07:11 AM;BPI-011-CO 2020-08-26 05:56 AM;BPI-011-CO 2020-09-03 09:08 AM;BPI-011-CO 2020-09-30 06:45 AM;BPI-011-CO 2020-09-30 07:05 AM;BPI-011-CO 2021-03-16 07:35 AM;BPI-011-CO 2021-03-16 07:52 AM;NA;NA;BPI-011-CO 2021-09-16 07:19 AM;BPI-011-CO 2021-09-16 07:35 AM;BPI-011-CO 2021-09-16 07:48 AM;NA
12;BPI-012-CO 2019-07-26 05:43 AM;BPI-012-CO 2019-07-26 07:14 AM;BPI-012-CO 2019-07-30 06:19 AM;BPI-012-CO 2019-07-30 06:31 AM;BPI-012-CO 2020-03-04 07:04 AM;BPI-012-CO 2020-03-04 07:22 AM;BPI-012-CO 2020-03-05 07:42 AM;BPI-012-CO 2020-03-05 08:39 AM;BPI-012-CO 2020-08-20 07:40 AM;NA;BPI-012-CO 2020-09-26 07:54 AM;BPI-012-CO 2020-09-26 08:10 AM;BPI-012-CO 2021-02-08 06:50 AM;BPI-012-CO 2021-02-08 07:07 AM;BPI-012-CO 2021-02-08 07:23 AM;BPI-012-CO 2021-03-09 07:43 AM;BPI-012-CO 2021-07-29 08:50 AM;BPI-012-CO 2021-08-23 08:56 AM;BPI-012-CO 2021-08-23 09:13 AM;BPI-012-CO 2021-09-09 06:56 AM
13;BPI-013-CO 2019-07-26 05:55 AM;BPI-013-CO 2019-07-26 06:18 AM;BPI-013-CO 2019-07-30 06:53 AM;BPI-013-CO 2019-07-30 07:04 AM;BPI-013-CO 2020-03-04 06:21 AM;BPI-013-CO 2020-03-04 06:40 AM;BPI-013-CO 2020-03-05 08:01 AM;BPI-013-CO 2020-03-05 08:18 AM;BPI-013-CO 2020-08-20 07:04 AM;NA;BPI-013-CO 2020-09-26 07:20 AM;BPI-013-CO 2020-09-26 07:38 AM;BPI-013-CO 2021-02-08 06:45 AM;BPI-013-CO 2021-02-08 07:11 AM;BPI-013-CO 2021-02-08 07:43 AM;BPI-013-CO 2021-03-09 08:06 AM;BPI-013-CO 2021-07-29 08:30 AM;BPI-013-CO 2021-08-23 08:37 AM;BPI-013-CO 2021-08-23 08:55 AM;BPI-013-CO 2021-09-09 07:14 AM
14;BPI-014-CO 2019-07-31 06:16 AM;BPI-014-CO 2019-07-31 06:26 AM;BPI-014-CO 2019-08-01 07:16 AM;BPI-014-CO 2019-08-01 07:27 AM;BPI-014-CO 2020-01-21 07:42 AM;BPI-014-CO 2020-01-21 08:00 AM;BPI-014-CO 2020-01-23 07:17 AM;NA;BPI-014-CO 2020-08-13 06:45 AM;BPI-014-CO 2020-08-13 07:25 AM;BPI-014-CO 2020-09-10 07:52 AM;NA;BPI-014-CO 2021-02-12 07:49 AM;BPI-014-CO 2021-02-15 07:42 AM;BPI-014-CO 2021-02-15 08:55 AM;BPI-014-CO 2021-03-09 08:17 AM;BPI-014-CO 2021-07-19 06:15 AM;BPI-014-CO 2021-07-19 06:55 AM;BPI-014-CO 2021-07-19 07:50 AM;BPI-014-CO 2021-08-16 06:07 AM
15;BPI-015-CO 2019-07-31 07:55 AM;BPI-015-CO 2019-07-31 08:07 AM;BPI-015-CO 2019-08-01 06:04 AM;BPI-015-CO 2019-08-01 06:15 AM;BPI-015-CO 2020-01-21 09:05 AM;BPI-015-CO 2020-01-21 09:20 AM;BPI-015-CO 2020-01-23 06:35 AM;NA;BPI-015-CO 2020-08-13 05:51 AM;BPI-015-CO 2020-08-13 06:25 AM;BPI-015-CO 2020-09-10 07:06 AM;BPI-015-CO 2020-09-10 08:09 AM;BPI-015-CO 2021-02-15 06:46 AM;BPI-015-CO 2021-02-15 07:07 AM;BPI-015-CO 2021-02-15 09:27 AM;BPI-015-CO 2021-03-09 07:30 AM;BPI-015-CO 2021-07-19 06:05 AM;BPI-015-CO 2021-07-19 07:41 AM;BPI-015-CO 2021-07-19 09:05 AM;BPI-015-CO 2021-08-16 09:08 AM
16;BPI-016-CO 2019-08-02 07:35 AM;BPI-016-CO 2019-08-02 07:46 AM;BPI-016-CO 2019-08-03 07:29 AM;BPI-016-CO 2019-08-03 07:40 AM;BPI-016-CO 2020-01-21 06:38 AM;BPI-016-CO 2020-01-21 07:01 AM;BPI-016-CO 2020-01-23 08:35 AM;BPI-016-CO 2020-01-23 08:51 AM;BPI-016-CO 2020-08-13 07:46 AM;BPI-016-CO 2020-08-13 08:25 AM;BPI-016-CO 2020-09-10 09:17 AM;NA;BPI-016-CO 2021-02-12 07:43 AM;BPI-016-CO 2021-02-15 07:50 AM;BPI-016-CO 2021-02-15 08:52 AM;BPI-016-CO 2021-03-09 09:25 AM;BPI-016-CO 2021-07-19 06:59 AM;BPI-016-CO 2021-07-19 07:34 AM;BPI-016-CO 2021-07-19 07:52 AM;BPI-016-CO 2021-08-16 06:54 AM
17;BPI-017-CO 2019-08-02 09:05 AM;BPI-017-CO 2019-08-02 09:13 AM;BPI-017-CO 2019-08-03 05:45 AM;BPI-017-CO 2019-08-03 05:58 AM;BPI-017-CO 2020-01-21 06:36 AM;BPI-017-CO 2020-01-21 06:53 AM;BPI-017-CO 2020-01-23 07:59 AM;BPI-017-CO 2020-01-23 08:16 AM;BPI-017-CO 2020-08-13 08:04 AM;BPI-017-CO 2020-08-13 08:31 AM;BPI-017-CO 2020-09-10 08:54 AM;NA;BPI-017-CO 2021-02-15 07:51 AM;BPI-017-CO 2021-02-15 08:13 AM;BPI-017-CO 2021-02-15 08:25 AM;BPI-017-CO 2021-03-09 09:47 AM;BPI-017-CO 2021-07-19 07:22 AM;BPI-017-CO 2021-07-19 08:08 AM;BPI-017-CO 2021-07-19 08:24 AM;BPI-017-CO 2021-08-16 07:21 AM
18;BPI-018-CO 2019-09-03 05:57 AM;BPI-018-CO 2019-09-03 06:11 AM;BPI-018-CO 2019-09-04 07:47 AM;BPI-018-CO 2019-09-04 08:03 AM;BPI-018-CO 2020-01-31 07:51 AM;BPI-018-CO 2020-01-31 08:11 AM;NA;NA;BPI-018-CO 2020-08-13 09:20 AM;BPI-018-CO 2020-08-31 09:15 AM;BPI-018-CO 2020-09-29 06:00 AM;BPI-018-CO 2020-09-29 08:26 AM;BPI-018-CO 2021-02-16 06:58 AM;BPI-018-CO 2021-03-10 06:50 AM;BPI-018-CO 2021-03-10 08:37 AM;BPI-018-CO 2021-03-10 08:51 AM;BPI-018-CO 2021-07-21 07:55 AM;BPI-018-CO 2021-07-21 08:10 AM;NA;NA
19;BPI-019-CO 2019-09-03 05:49 AM;BPI-019-CO 2019-09-03 06:16 AM;BPI-019-CO 2019-09-04 07:40 AM;BPI-019-CO 2019-09-04 08:18 AM;BPI-019-CO 2020-01-31 07:06 AM;BPI-019-CO 2020-01-31 07:25 AM;NA;NA;BPI-019-CO 2020-08-13 08:57 AM;BPI-019-CO 2020-08-31 09:46 AM;BPI-019-CO 2020-09-29 05:44 AM;BPI-019-CO 2020-09-29 08:52 AM;BPI-019-CO 2021-02-16 06:29 AM;BPI-019-CO 2021-03-10 06:27 AM;BPI-019-CO 2021-03-10 08:23 AM;BPI-019-CO 2021-03-10 09:05 AM;BPI-019-CO 2021-07-21 07:37 AM;BPI-019-CO 2021-07-21 08:30 AM;NA;NA
20;BPI-020-CO 2019-08-28 07:22 AM;BPI-020-CO 2019-08-28 08:32 AM;BPI-020-CO 2019-08-29 05:53 AM;BPI-020-CO 2019-08-29 06:56 AM;BPI-020-CO 2020-01-24 06:08 AM;BPI-020-CO 2020-01-24 06:27 AM;BPI-020-CO 2020-01-28 06:34 AM;BPI-020-CO 2020-01-28 07:20 AM;BPI-020-CO 2020-08-31 05:54 AM;BPI-020-CO 2020-08-31 07:11 AM;BPI-020-CO 2020-09-29 07:02 AM;BPI-020-CO 2020-09-29 07:20 AM;NA;BPI-020-CO 2021-02-16 08:39 AM;BPI-020-CO 2021-03-10 08:02 AM;BPI-020-CO 2021-03-10 09:04 AM;BPI-020-CO 2021-07-21 06:11 AM;BPI-020-CO 2021-07-21 06:32 AM;NA;NA
