Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S58430318,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2019-07-23,08:21 AM,eBird - Stationary Count,10,1,,,2,,1,BPI009
S58430278,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2019-07-23,08:43 AM,eBird - Stationary Count,11,1,,,2,,3,BPI009
S58430273,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2019-07-24,06:26 AM,eBird - Stationary Count,16,1,,,2,,3,BPI009
S73612117,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2020-09-14,07:29 AM,eBird - Stationary Count,13,1,,,1,,,"CN 40, db 32"
S80689486,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10039988,BPI-005-CO,5.6176153,-75.8478971,2021-02-09,06:48 AM,eBird - Stationary Count,16,1,,,1,,,DB : 37  CN 85
S83812351,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L12284712,BPI-005-CO,5.6176153,-75.8478971,2021-03-18,07:13 AM,eBird - Stationary Count,13,1,,,2,,,"CN 80, DB 48"
S58430319,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2019-07-23,08:01 AM,eBird - Stationary Count,10,1,,,2,,,BPI008
S72469730,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2020-08-11,08:43 AM,eBird - Stationary Count,10,1,,,2,,,"CN 40, DB 50"
S73612146,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2020-09-14,07:02 AM,eBird - Stationary Count,16,1,,,1,,,"CN 50, db 29"
S73689540,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2020-09-14,07:50 AM,eBird - Stationary Count,10,1,,,2,,3,"CN 36, DB 60"
S81742001,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2021-02-09,07:55 AM,eBird - Stationary Count,10,1,,,2,,,"DB 36, CN 90"
S92073069,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10039985,BPI-006-CO,5.6170648,-75.8470637,2021-07-20,05:55 AM,eBird - Stationary Count,11,1,,,2,,,DB 48
S81742157,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2021-02-09,06:21 AM,eBird - Stationary Count,14,1,,,2,,,"DB 39, CN 90"
S80691278,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2021-02-09,07:56 AM,eBird - Stationary Count,11,1,,,2,,Vocal,DB 32  CN 100
S83812029,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2021-03-18,08:29 AM,eBird - Stationary Count,12,1,,,2,,,"CN 70, DB 48"
S92034350,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2021-07-20,06:35 AM,eBird - Stationary Count,7,1,,,2,,,DB 35
S58576002,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040066,BPI-008-CO,5.6137892,-75.8447648,2019-07-25,06:14 AM,eBird - Stationary Count,10,1,,,2,,1,BPI014
S80689474,Colombian Chachalaca,Ortalis columbiana,786,8,CO-ANT,,L10040066,BPI-008-CO,5.6137892,-75.8447648,2021-02-09,06:24 AM,PROALAS Point Count (2 bands),12,1,,,1,,3,"CN 100, DB 47"
S81742137,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040066,BPI-008-CO,5.6137892,-75.8447648,2021-02-09,06:48 AM,eBird - Stationary Count,15,1,,,2,,,"DB 33, CN 95"
S58576049,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2019-07-25,08:15 AM,eBird - Stationary Count,10,1,,,2,,2,BPI017
S73079340,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2020-08-31,08:46 AM,eBird - Stationary Count,10,1,,,2,,,"CN 48, DB 30"
S74026674,Colombian Chachalaca,Ortalis columbiana,786,6,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2020-09-25,05:46 AM,eBird - Stationary Count,11,1,,,2,,6,"CN 46, DB 80"
S84388105,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2021-03-30,07:38 AM,eBird - Stationary Count,17,1,,,2,,,DB 41  CN 40
S84524053,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2021-04-01,06:38 AM,eBird - Stationary Count,17,1,,,2,,,DB 39  CN 100
S84524799,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2021-04-01,07:04 AM,eBird - Stationary Count,12,1,,,2,,,DB 37  CN 100
S58576050,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2019-07-25,07:54 AM,eBird - Stationary Count,11,1,,,2,,2,BPI018
S58575974,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2019-07-29,06:50 AM,eBird - Stationary Count,12,1,,,2,,,BPI018
S83110533,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-03-09,06:27 AM,eBird - Stationary Count,14,1,,,2,,,"CN 70,DB 48"
S84389251,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-03-30,08:02 AM,eBird - Stationary Count,14,1,,,2,,,DB 39  CN 50
S84533425,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-04-01,09:37 AM,eBird - Stationary Count,13,1,,,2,,,DB 39  Cn 100
S84535232,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-04-01,10:03 AM,eBird - Stationary Count,15,1,,,2,,,DB 41  Cn 100
S94862853,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-09-16,07:23 AM,eBird - Stationary Count,10,1,,,2,,,"DB, 46"
S94862875,Colombian Chachalaca,Ortalis columbiana,786,8,CO-ANT,,L10040147,BPI-010-CO,5.6074795,-75.8463787,2021-09-16,07:39 AM,eBird - Stationary Count,12,1,,,2,,,"DB, 54"
S58575988,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2019-07-25,08:52 AM,eBird - Stationary Count,10,1,,,2,,,BPI019
S74247887,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2020-09-30,07:05 AM,eBird - Stationary Count,11,1,,,2,,3,"CN 43, DB 70"
S83812669,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2021-03-16,07:35 AM,eBird - Stationary Count,12,1,,,2,,3,"CN 90, DB 53"
S94795915,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2021-09-16,07:19 AM,eBird - Stationary Count,10,1,,,2,,,DB 51
S94795923,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2021-09-16,07:35 AM,eBird - Stationary Count,10,1,,,2,,,DB 52
S94795934,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2021-09-16,07:48 AM,eBird - Stationary Count,10,1,,,2,,,DB 52
S58575982,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040180,BPI-012-CO,5.5983673,-75.8273631,2019-07-26,07:14 AM,eBird - Stationary Count,15,1,,,2,,,BPI020
S80635612,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040180,BPI-012-CO,5.5983673,-75.8273631,2021-02-08,06:50 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 52"
S84290831,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040180,BPI-012-CO,5.5983673,-75.8273631,2021-02-08,07:07 AM,eBird - Stationary Count,11,1,,,1,,,DB 42  CN: 100  Lloviznas
S58613190,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040188,BPI-013-CO,5.5981459,-75.8288516,2019-07-30,06:53 AM,eBird - Stationary Count,10,1,,,2,,,BPI021
S80636076,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040188,BPI-013-CO,5.5981459,-75.8288516,2021-02-08,07:11 AM,eBird - Stationary Count,10,1,,,2,,2
S81742394,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10040188,BPI-013-CO,5.5981459,-75.8288516,2021-02-08,07:43 AM,eBird - Stationary Count,12,1,,,2,,1,"DB 55, CN 90"
S58709301,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2019-08-01,07:27 AM,eBird - Stationary Count,11,1,,,2,,,BPI025
S64160266,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2020-01-23,07:17 AM,eBird - Stationary Count,11,1,,,2
S72683786,Colombian Chachalaca,Ortalis columbiana,786,5,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2020-08-13,07:25 AM,eBird - Stationary Count,12,1,,,1,,,"CN 90, db 40"
S73438124,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2020-09-10,07:52 AM,eBird - Stationary Count,12,1,,,2,,,"CN 38, DB 100"
S80862958,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2021-02-12,07:49 AM,eBird - Stationary Count,11,1,,,1,,,DB 47  CN 100
S91978600,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2021-07-19,06:15 AM,eBird - Stationary Count,14,1,,,2,,,DB 46
S92073121,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2021-07-19,06:55 AM,eBird - Stationary Count,12,1,,,2
S73556800,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10043688,BPI-015-CO,5.6197049,-75.8532429,2020-08-13,05:51 AM,eBird - Stationary Count,12,1,,,2,,,"CN 39, DB 90"
S73612428,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10043688,BPI-015-CO,5.6197049,-75.8532429,2020-09-10,08:09 AM,eBird - Stationary Count,14,1,,,1,,,"CN 100, db 22"
S81740654,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10043688,BPI-015-CO,5.6197049,-75.8532429,2021-02-15,06:46 AM,eBird - Stationary Count,10,1,,,2,,,"DB 37, CN 100"
S81535376,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10043688,BPI-015-CO,5.6197049,-75.8532429,2021-02-15,07:07 AM,eBird - Stationary Count,12,1,,,2,,,DB 33  CN 100
S91981783,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10043688,BPI-015-CO,5.6197049,-75.8532429,2021-07-19,07:41 AM,eBird - Stationary Count,10,1,,,2,,,DB 38
S59180956,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9824603,BPI-016-CO,5.6280671,-75.8571746,2019-08-02,07:35 AM,eBird - Stationary Count,10,1,,,2,,3,BPI-016-CO
S59180827,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9824603,BPI-016-CO,5.6280671,-75.8571746,2019-08-03,07:29 AM,eBird - Stationary Count,10,1,,,2,,,BPI-016-CO
S72468727,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9824603,BPI-016-CO,5.6280671,-75.8571746,2020-08-13,07:46 AM,eBird - Stationary Count,11,1,,,2,,2,"CN 37, DB 85"
S72684108,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9824603,BPI-016-CO,5.6280671,-75.8571746,2020-08-13,08:25 AM,eBird - Stationary Count,14,1,,,1,,,"CN 85, db"
S72683952,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9824691,BPI-017-CO,5.6299916,-75.8591573,2020-08-13,08:04 AM,eBird - Stationary Count,10,1,,,1,,,"CN 80, db 37"
S81539145,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9824691,BPI-017-CO,5.6299916,-75.8591573,2021-02-15,07:51 AM,eBird - Stationary Count,12,1,,,2,,,DB 41  CN 100
S81562302,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9824691,BPI-017-CO,5.6299916,-75.8591573,2021-02-15,08:13 AM,eBird - Stationary Count,10,1,,,2,,3,"CN 100, DB 43"
S93308586,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9824691,BPI-017-CO,5.6299916,-75.8591573,2021-08-16,07:21 AM,eBird - Stationary Count,10,1,,,2,,,DB 45
S59521437,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2019-09-03,05:57 AM,eBird - Stationary Count,10,1,,,2
S64175357,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2020-01-31,08:11 AM,eBird - Stationary Count,10,1,,,2
S72468569,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2020-08-13,09:20 AM,eBird - Stationary Count,10,1,,,2,,,"CN 43, DB 95"
S74198806,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2020-09-29,06:00 AM,eBird - Traveling Count,11,1,.096,,1,AC Ave Cantando,,"Cn 60, db 22"
S81716532,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2021-02-16,06:58 AM,eBird - Stationary Count,16,1,,,2,,,DB 34  Cn 80
S83118759,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2021-03-10,06:50 AM,eBird - Stationary Count,11,0,,,1,,,DB 36  Cn 100
S83485691,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2021-03-10,08:37 AM,eBird - Stationary Count,10,1,,,2,,,"CN 90, DB 42"
S83485708,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9872291,BPI-018-CO,5.6215686,-75.861635,2021-03-10,08:51 AM,eBird - Stationary Count,11,1,,,2,,,"CN 90, DB 40"
S59327452,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2019-08-28,08:32 AM,eBird - Stationary Count,11,1,,,2,,1
S63851614,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2020-01-24,06:08 AM,eBird - Stationary Count,11,1,,,2,,2
S63851599,Colombian Chachalaca,Ortalis columbiana,786,5,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2020-01-24,06:27 AM,eBird - Stationary Count,11,1,,,2,,3
S63868242,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848200,BPI-020-CO,5.6184613,-75.8641038,2020-01-28,06:34 AM,eBird - Stationary Count,10,1,,,2
S64175188,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2020-01-28,07:20 AM,eBird - Stationary Count,11,1,,,2,,2
S73079839,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2020-08-31,05:54 AM,eBird - Stationary Count,10,1,,,2,,,"CN 32, DB 80"
S73725091,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9848200,BPI-020-CO,5.6184613,-75.8641038,2020-08-31,07:11 AM,eBird - Stationary Count,13,1,,,1,,,"CN 75, db 37"
S81740036,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848388,BPI-020-CO,5.6184684,-75.864125,2021-02-16,08:39 AM,eBird - Stationary Count,12,1,,,2,,,"DB 42, CN 70"
S59347338,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2019-08-29,06:15 AM,eBird - Stationary Count,10,1,,,2,,2
S64174975,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2020-01-28,06:26 AM,eBird - Stationary Count,11,1,,,2,,,Cerca don Jaime
S81740164,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2021-02-16,07:31 AM,eBird - Stationary Count,12,1,,,2,,,"DB 42,CN 90"
S81724583,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2021-02-16,08:59 AM,eBird - Stationary Count,15,1,,,2,,,DB 31  CN 45
S83121535,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848213,BPI-021-CO,5.6175675,-75.865828,2021-03-10,08:09 AM,eBird - Stationary Count,8,1,,,2,,,DB 39  Cn 100
S59347312,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9848263,BPI-022-CO,5.6199698,-75.8655328,2019-08-29,06:11 AM,eBird - Stationary Count,12,1,,,2,,1
S63851416,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9848263,BPI-022-CO,5.6199698,-75.8655328,2020-01-24,07:40 AM,eBird - Stationary Count,10,1,,,2
S63868244,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9848324,BPI-023-CO,5.6202632,-75.8633817,2020-01-28,06:16 AM,eBird - Stationary Count,10,1,,,2
S73079682,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9848324,BPI-023-CO,5.6202632,-75.8633817,2020-08-31,07:02 AM,eBird - Stationary Count,10,1,,,2,,,"CN 48, DB 90"
S92452499,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L9848324,BPI-023-CO,5.6202632,-75.8633817,2021-07-21,06:57 AM,eBird - Stationary Count,12,1,,,2,,,DB 47
S64175303,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848095,BPI-024-CO,5.6163466,-75.8643005,2020-01-29,06:51 AM,eBird - Stationary Count,10,1,,,2,,2
S74248482,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848095,BPI-024-CO,5.6163466,-75.8643005,2020-09-29,06:08 AM,eBird - Stationary Count,11,1,,,2,,2,"CN 46, DB 30"
S81718522,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9848095,BPI-024-CO,5.6163466,-75.8643005,2021-02-16,07:43 AM,eBird - Stationary Count,14,1,,,1,,,DB 37  Cn 70
S92078388,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L9848095,BPI-024-CO,5.6163466,-75.8643005,2021-07-21,06:23 AM,eBird - Stationary Count,4,1,,,2,,,DB 32
